,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,phone,display_phone,distance,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address,price
12,QjQgH21atY9tep1iBm8wsg,miguel-s-cocina-san-diego,Miguel’s Cocina,https://s3-media3.fl.yelpcdn.com/bphoto/Way1I8wwQ8Hy_u3J_HiBmg/o.jpg,False,https://www.yelp.com/biz/miguel-s-cocina-san-diego?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,261,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,[],+16197194962,(619) 719-4962,8126.905489177505,32.719348723825206,-117.1735978,1360 N Harbor Dr,,,San Diego,92101,US,CA,"['1360 N Harbor Dr', 'San Diego, CA 92101']",$$
13,EyEJur_GJxXry9QBGP8NpQ,emilianos-mexican-restaurant-san-diego,Emiliano's Mexican Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/R4PhdC_DQC214lg8PFySgw/o.jpg,False,https://www.yelp.com/biz/emilianos-mexican-restaurant-san-diego?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,411,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,"['delivery', 'pickup']",+16192842460,(619) 284-2460,5307.600662453009,32.7939,-117.09816,6690 Mission Gorge Rd,,,San Diego,92120,US,CA,"['6690 Mission Gorge Rd', 'San Diego, CA 92120']",$$
14,aNong9OB4trojq7iSUOE0A,el-cuervo-taco-shop-san-diego,El Cuervo Taco Shop,https://s3-media1.fl.yelpcdn.com/bphoto/Nr2b70te6BcfRIvwGh29nA/o.jpg,False,https://www.yelp.com/biz/el-cuervo-taco-shop-san-diego?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,525,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,"['delivery', 'pickup']",+16192959713,(619) 295-9713,4555.470372404301,32.750485,-117.16415,110 W Washington St,,,San Diego,92103,US,CA,"['110 W Washington St', 'San Diego, CA 92103']",$
15,c-lgtwGDo8bFClCa1YM_SQ,casa-castillo-san-diego,Casa Castillo,https://s3-media2.fl.yelpcdn.com/bphoto/eBoeB1jw9m_e-DB0IbMANw/o.jpg,False,https://www.yelp.com/biz/casa-castillo-san-diego?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,73,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.5,"['delivery', 'pickup']",+16194321922,(619) 432-1922,6866.023159456212,32.74852,-117.20786,3334 Rosecrans St,,,San Diego,92110,US,CA,"['3334 Rosecrans St', 'San Diego, CA 92110']",$$
16,XSH4aMmPtNEIfDEOYABkFw,el-comal-san-diego-3,El Comal,https://s3-media2.fl.yelpcdn.com/bphoto/5dH9QRtVFrikU8kW534cJQ/o.jpg,False,https://www.yelp.com/biz/el-comal-san-diego-3?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,1059,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,"['delivery', 'pickup']",+16192948292,(619) 294-8292,5193.959038376962,32.7493532733275,-117.127943676358,3946 Illinois St,,,San Diego,92104,US,CA,"['3946 Illinois St', 'San Diego, CA 92104']",$$
17,wOvC4Qb2CWuStQnB4Lc6og,sayulitas-mexican-food-san-diego-2,Sayulitas Mexican Food,https://s3-media1.fl.yelpcdn.com/bphoto/CX3OzkQGJBfiNtp3YsCNRA/o.jpg,False,https://www.yelp.com/biz/sayulitas-mexican-food-san-diego-2?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,593,"[{'alias': 'mexican', 'title': 'Mexican'}]",3.5,"['delivery', 'pickup']",+18585379326,(858) 537-9326,13406.986885550792,32.911013,-117.147459872067,8155 Mira Mesa Blvd,Ste 6,,San Diego,92126,US,CA,"['8155 Mira Mesa Blvd', 'Ste 6', 'San Diego, CA 92126']",$
18,yqTK2VA22GUyhFofgI40TQ,los-panchos-san-diego-4,Los Panchos,https://s3-media4.fl.yelpcdn.com/bphoto/jx1lHUaeslIW1yf09haSWw/o.jpg,False,https://www.yelp.com/biz/los-panchos-san-diego-4?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,284,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,['delivery'],+16192720626,(619) 272-0626,3808.9024235666748,32.76667,-117.18327,6110 Friars Rd,Ste 101,,San Diego,92108,US,CA,"['6110 Friars Rd', 'Ste 101', 'San Diego, CA 92108']",$$
19,PlAyQLJqS3wfmYzTjUUUYA,la-fuente-mexican-grill-and-seafood-san-diego-2,La Fuente Mexican Grill and Seafood,https://s3-media4.fl.yelpcdn.com/bphoto/SlCEiueUAn8_07lzQlNszQ/o.jpg,False,https://www.yelp.com/biz/la-fuente-mexican-grill-and-seafood-san-diego-2?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,394,"[{'alias': 'mexican', 'title': 'Mexican'}]",3.5,"['delivery', 'pickup']",+18585690801,(858) 569-0801,2537.032513760609,32.810269,-117.140389,8690 Aero Dr,,,San Diego,92123,US,CA,"['8690 Aero Dr', 'San Diego, CA 92123']",$
20,ssJJPFuV6tTDgHYe2w9csQ,oscars-mexican-seafood-san-diego-3,Oscars Mexican Seafood,https://s3-media1.fl.yelpcdn.com/bphoto/nmtXm16znYiTmTIP5MQdBA/o.jpg,False,https://www.yelp.com/biz/oscars-mexican-seafood-san-diego-3?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,3053,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.5,"['delivery', 'pickup']",+18584886392,(858) 488-6392,10169.337870676562,32.808189,-117.260846,703 Turquoise St,,,San Diego,92109,US,CA,"['703 Turquoise St', 'San Diego, CA 92109']",$
21,Uo52TKWFOrrlnc14gVnqcw,mauricios-san-diego-2,Mauricio's,https://s3-media2.fl.yelpcdn.com/bphoto/3jTxlwhKdALywelg_gCGIg/o.jpg,False,https://www.yelp.com/biz/mauricios-san-diego-2?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,183,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,"['delivery', 'pickup']",+18585059051,(858) 505-9051,4658.082028785851,32.830537,-117.139153,5375 Kearny Villa Rd,,,San Diego,92123,US,CA,"['5375 Kearny Villa Rd', 'San Diego, CA 92123']",$
22,whcQ3JRgfX-CJ-f3LQxDtw,picante-taqueria-mexican-grill-san-diego-6,Picante Taqueria Mexican Grill,https://s3-media2.fl.yelpcdn.com/bphoto/xHt_Jkg_Ajs4JIGn3mKWwQ/o.jpg,False,https://www.yelp.com/biz/picante-taqueria-mexican-grill-san-diego-6?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,288,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.0,"['delivery', 'pickup']",+16193589198,(619) 358-9198,5230.986512431691,32.79329,-117.0982,6620 Mission Gorge Rd,,,San Diego,92120,US,CA,"['6620 Mission Gorge Rd', 'San Diego, CA 92120']",$
23,zCP7tTuUPkw9PeiyOp8FTw,el-zarape-restaurant-san-diego-4,El Zarape Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/yz0b5tH3IGaFblc_VicCRQ/o.jpg,False,https://www.yelp.com/biz/el-zarape-restaurant-san-diego-4?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,2683,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,['delivery'],+16196921652,(619) 692-1652,3278.3885011072834,32.7618065,-117.146379,4642 Park Blvd,,,San Diego,92116,US,CA,"['4642 Park Blvd', 'San Diego, CA 92116']",$
24,bCDi6bD9bCISqFZ3OyDbOg,vallarta-express-mexican-eatery-san-diego,Vallarta Express Mexican Eatery,https://s3-media3.fl.yelpcdn.com/bphoto/hfFoSPoS4KexxWQmkuqq_w/o.jpg,False,https://www.yelp.com/biz/vallarta-express-mexican-eatery-san-diego?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,1440,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,['delivery'],+18585696945,(858) 569-6945,4339.998618265366,32.821346282959,-117.182472229004,4277 Genesee Ave,,,San Diego,92117,US,CA,"['4277 Genesee Ave', 'San Diego, CA 92117']",$
25,4_vPdLbDx0Iadr2nANyCQQ,puesto-san-diego-8,Puesto,https://s3-media2.fl.yelpcdn.com/bphoto/ixmqgQbmWhEkg032Qk0yJA/o.jpg,False,https://www.yelp.com/biz/puesto-san-diego-8?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,4135,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"['delivery', 'pickup']",+16192338880,(619) 233-8880,9014.206785592894,32.71065528903723,-117.17028012032057,789 W Harbor Dr,Ste 155,,San Diego,92101,US,CA,"['789 W Harbor Dr', 'Ste 155', 'San Diego, CA 92101']",$$
26,gW9QYl6rijkncwPpvdVr7A,coasterra-san-diego,Coasterra,https://s3-media1.fl.yelpcdn.com/bphoto/yhT6V2ib1ijBK_rYGHWiOw/o.jpg,False,https://www.yelp.com/biz/coasterra-san-diego?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,2798,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,['delivery'],+16198141300,(619) 814-1300,8002.132922524592,32.7245003650114,-117.188005998672,880 Harbor Island Dr,,,San Diego,92101,US,CA,"['880 Harbor Island Dr', 'San Diego, CA 92101']",$$$
27,wFl8oyege66SxWSCItg86Q,ponces-mexican-restaurant-san-diego,Ponce's Mexican Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/uVYTxtftjC_2HeOsb2Vpyw/o.jpg,False,https://www.yelp.com/biz/ponces-mexican-restaurant-san-diego?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,1347,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,"['delivery', 'pickup']",+16192824413,(619) 282-4413,5243.545989174968,32.7634312168435,-117.108215567666,4050 Adams Ave,,,San Diego,92116,US,CA,"['4050 Adams Ave', 'San Diego, CA 92116']",$$
28,L2Bhgxgt6CCUZuisKXbJmg,crack-taco-shop-san-diego,CRACK Taco Shop,https://s3-media2.fl.yelpcdn.com/bphoto/P2q67uEJtjrE26fcBfuAwg/o.jpg,False,https://www.yelp.com/biz/crack-taco-shop-san-diego?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,579,"[{'alias': 'tacos', 'title': 'Tacos'}]",4.0,"['delivery', 'pickup']",+16192692828,(619) 269-2828,4905.809147639643,32.7803100019414,-117.103043161333,4242 Camino Del Rio N,Ste 28,,San Diego,92108,US,CA,"['4242 Camino Del Rio N', 'Ste 28', 'San Diego, CA 92108']",$
29,_Yx2xvx-dO9bV2xb-s-nmw,todo-pa-la-cruda-san-diego,Todo Pa' La Cruda,https://s3-media1.fl.yelpcdn.com/bphoto/MP3-AsRqyzgPeYGN2KxmlQ/o.jpg,False,https://www.yelp.com/biz/todo-pa-la-cruda-san-diego?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,120,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,"['delivery', 'pickup']",+16199195096,(619) 919-5096,9587.787937865503,32.70624,-117.13273,2851 Imperial Ave,,,San Diego,92102,US,CA,"['2851 Imperial Ave', 'San Diego, CA 92102']",
30,dBtZR2CB8PVxndyF6K2wAQ,the-taco-stand-la-jolla,The Taco Stand,https://s3-media2.fl.yelpcdn.com/bphoto/dPKmj4zVTWMA4ljfucBF7Q/o.jpg,False,https://www.yelp.com/biz/the-taco-stand-la-jolla?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,3873,"[{'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.5,"['delivery', 'pickup']",+18585516666,(858) 551-6666,12687.596125558744,32.8393664861151,-117.276808878945,621 Pearl St,,,La Jolla,92037,US,CA,"['621 Pearl St', 'La Jolla, CA 92037']",$
31,6kZTye2kYSTDc9YuJkY_Bw,cocina-de-barrio-san-diego-3,Cocina de Barrio,https://s3-media2.fl.yelpcdn.com/bphoto/Ut8sjtslUu2rXGmJw8Dwuw/o.jpg,False,https://www.yelp.com/biz/cocina-de-barrio-san-diego-3?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,362,"[{'alias': 'newmexican', 'title': 'New Mexican Cuisine'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,[],+16196772770,(619) 677-2770,5055.454247812017,32.745379,-117.160174,3707 Fifth Ave,,,San Diego,92103,US,CA,"['3707 Fifth Ave', 'San Diego, CA 92103']",$$
32,cexxLL6wmxZGuBXGgKK-8Q,el-gordo-mexican-food-san-diego-3,El Gordo Mexican Food,https://s3-media2.fl.yelpcdn.com/bphoto/vZlS-l-EC4kPDiGwhpKPzg/o.jpg,False,https://www.yelp.com/biz/el-gordo-mexican-food-san-diego-3?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,49,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",4.0,"['delivery', 'pickup']",+18582216530,(858) 221-6530,4203.155456466992,32.82836855006261,-117.1537959,4768 Convoy St,,,San Diego,92111,US,CA,"['4768 Convoy St', 'San Diego, CA 92111']",$
33,7ynGOTsVyp_62wQgzCFY8w,calis-and-fries-san-diego,Cali's & Fries,https://s3-media1.fl.yelpcdn.com/bphoto/jLFGlMptK5A0UJOU9wyxXw/o.jpg,False,https://www.yelp.com/biz/calis-and-fries-san-diego?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,140,"[{'alias': 'tacos', 'title': 'Tacos'}]",4.0,['delivery'],+18582797733,(858) 279-7733,5484.046954169857,32.8317489624023,-117.121040344238,5150 Murphy Canyon Rd,Ste 109,,San Diego,92123,US,CA,"['5150 Murphy Canyon Rd', 'Ste 109', 'San Diego, CA 92123']",$
34,0PUugR-xiDbUsP6apRb5ww,puesto-mission-valley-san-diego,Puesto - Mission Valley,https://s3-media3.fl.yelpcdn.com/bphoto/SWemxTmdIzNmAplWnNzaWQ/o.jpg,False,https://www.yelp.com/biz/puesto-mission-valley-san-diego?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,469,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,[],+16193332167,(619) 333-2167,2612.4932081312277,32.767101,-117.153926,5010 Mission Center Rd,,,San Diego,92108,US,CA,"['5010 Mission Center Rd', 'San Diego, CA 92108']",$$
35,mTjKTc3SYz3ZmevLDUs7Lw,cafe-coyote-san-diego-2,Cafe Coyote,https://s3-media1.fl.yelpcdn.com/bphoto/l-NbwoSE4gevTHDoEE-Ghg/o.jpg,False,https://www.yelp.com/biz/cafe-coyote-san-diego-2?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,5826,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",3.5,"['delivery', 'pickup', 'restaurant_reservation']",+16192914695,(619) 291-4695,5674.692704923857,32.752281,-117.194211,2461 San Diego Ave,,,San Diego,92110,US,CA,"['2461 San Diego Ave', 'San Diego, CA 92110']",$$
